N E X T F L O W  ~  version 21.10.6
Launching `./wes.nf` [scruffy_northcutt] - revision: 42b5734271

STARTING PIPELINE
=*=*=*=*=*=*=*=*=
Sample list: /home/diagnostics/pipelines/WholeExomePipeline/sample_list.csv
BED file: /home/pipelines/mutation_detector_nextflow/bedfile/Leukemia_Panel_Myeloid_2023_Feb_hg37_sortd.bed
Sequences in:/home/diagnostics/pipelines/WholeExomePipeline/sequences

[e6/45010a] Cached process > WES:trimming_trimmomatic (9)
[b7/964e58] Cached process > WES:trimming_trimmomatic (1)
[f9/e954a1] Cached process > WES:trimming_trimmomatic (4)
[b2/547503] Cached process > WES:trimming_trimmomatic (2)
[44/d5489b] Cached process > WES:trimming_trimmomatic (5)
[0f/990cd5] Cached process > WES:trimming_trimmomatic (14)
[5b/161010] Cached process > WES:trimming_trimmomatic (13)
[ef/74a642] Cached process > WES:trimming_trimmomatic (12)
[38/1a0c25] Cached process > WES:trimming_trimmomatic (3)
[d3/a24e0f] Cached process > WES:trimming_trimmomatic (7)
[aa/5fdc7b] Cached process > WES:trimming_trimmomatic (11)
[56/899654] Cached process > WES:trimming_trimmomatic (10)
[90/01b016] Cached process > WES:trimming_trimmomatic (8)
[29/eb9285] Cached process > WES:trimming_trimmomatic (6)
[7c/aa0704] Cached process > WES:pair_assembly_pear (3)
[28/b55b89] Cached process > WES:pair_assembly_pear (5)
[55/c44ac6] Cached process > WES:pair_assembly_pear (9)
[0f/96cd40] Cached process > WES:pair_assembly_pear (13)
[ae/e9255b] Cached process > WES:pair_assembly_pear (14)
[c2/f84be9] Cached process > WES:pair_assembly_pear (1)
[a1/211f54] Cached process > WES:pair_assembly_pear (10)
[38/faa586] Cached process > WES:pair_assembly_pear (12)
[82/88dad5] Cached process > WES:pair_assembly_pear (6)
[0b/ad2b6a] Cached process > WES:pair_assembly_pear (8)
[e5/9c1b12] Cached process > WES:pair_assembly_pear (11)
[08/7e90f0] Cached process > WES:pair_assembly_pear (2)
[5d/5d4175] Cached process > WES:pair_assembly_pear (4)
[7e/0a2f2b] Cached process > WES:pair_assembly_pear (7)
[b4/6d16c8] Cached process > WES:mapping_reads (1)
[18/d98563] Cached process > WES:mapping_reads (8)
[65/c6cd7a] Cached process > WES:mapping_reads (2)
[7a/352732] Cached process > WES:mapping_reads (5)
[78/113058] Cached process > WES:mapping_reads (3)
[3e/c68a66] Cached process > WES:mapping_reads (4)
[ff/3c704c] Cached process > WES:mapping_reads (10)
[e6/37e8e3] Cached process > WES:mapping_reads (6)
[4b/84465f] Cached process > WES:mapping_reads (7)
[b4/fe70ce] Cached process > WES:mapping_reads (9)
[5e/616580] Cached process > WES:mapping_reads (11)
[f6/0a991d] Cached process > WES:mapping_reads (12)
[d3/b90c50] Cached process > WES:mapping_reads (14)
[e2/d97e3b] Cached process > WES:mapping_reads (13)
[2b/85d0da] Cached process > WES:sam_conversion (2)
[82/6b83e0] Cached process > WES:sam_conversion (4)
[19/db4dbd] Cached process > WES:sam_conversion (7)
[38/19a0d1] Cached process > WES:sam_conversion (5)
[5f/1fe3c2] Cached process > WES:sam_conversion (13)
[34/501d24] Cached process > WES:sam_conversion (12)
[ed/9ff7f9] Cached process > WES:sam_conversion (10)
[16/8061ef] Cached process > WES:sam_conversion (1)
[91/b1f5ef] Cached process > WES:sam_conversion (6)
[c2/2b8139] Cached process > WES:sam_conversion (3)
[8e/57157f] Cached process > WES:sam_conversion (14)
[61/7a8e66] Cached process > WES:sam_conversion (9)
[71/585de5] Cached process > WES:sam_conversion (11)
[61/28d1c9] Cached process > WES:sam_conversion (8)
[3f/b22b5e] Cached process > WES:mark_duplicates (4)
[ca/c1d152] Cached process > WES:mark_duplicates (3)
[d4/9ba0e3] Cached process > WES:mark_duplicates (8)
[d1/2f02df] Cached process > WES:mark_duplicates (13)
[46/46e056] Cached process > WES:mark_duplicates (5)
[5b/ac07f7] Cached process > WES:mark_duplicates (12)
[b1/f272e6] Cached process > WES:mark_duplicates (6)
[89/3eddaf] Cached process > WES:mark_duplicates (9)
[d6/74f230] Cached process > WES:mark_duplicates (11)
[b4/618087] Cached process > WES:mark_duplicates (10)
[7a/82bf02] Cached process > WES:mark_duplicates (1)
[e5/ff7fc5] Cached process > WES:mark_duplicates (14)
[01/3b6f9d] Cached process > WES:mark_duplicates (7)
[01/47c34f] Cached process > WES:mark_duplicates (2)
[31/5690cf] Cached process > WES:RealignerTargetCreator (5)
[d6/4dfd78] Cached process > WES:RealignerTargetCreator (9)
[d8/5e6350] Cached process > WES:RealignerTargetCreator (3)
[21/be6bd2] Cached process > WES:RealignerTargetCreator (13)
[44/d581c9] Cached process > WES:RealignerTargetCreator (14)
[7c/e4a10b] Cached process > WES:RealignerTargetCreator (8)
[9d/56a070] Cached process > WES:RealignerTargetCreator (1)
[ab/a5369d] Cached process > WES:RealignerTargetCreator (6)
[68/aebc68] Cached process > WES:RealignerTargetCreator (10)
[a2/d87d18] Cached process > WES:RealignerTargetCreator (7)
[4c/2f35ef] Cached process > WES:RealignerTargetCreator (11)
[08/b58dd5] Cached process > WES:RealignerTargetCreator (12)
[4e/60b60d] Cached process > WES:RealignerTargetCreator (4)
[6d/748c28] Cached process > WES:RealignerTargetCreator (2)
[ed/95805b] Cached process > WES:IndelRealigner (11)
[11/9480a2] Cached process > WES:IndelRealigner (4)
[31/ba1b2e] Cached process > WES:IndelRealigner (3)
[e0/63d0ae] Cached process > WES:IndelRealigner (7)
[7b/1a277f] Cached process > WES:IndelRealigner (9)
[35/d2bb5a] Cached process > WES:IndelRealigner (5)
[e1/e91e3c] Cached process > WES:IndelRealigner (13)
[21/9880da] Cached process > WES:IndelRealigner (10)
[27/ce3381] Cached process > WES:IndelRealigner (1)
[15/7c9a70] Cached process > WES:IndelRealigner (6)
[5d/65be95] Cached process > WES:IndelRealigner (12)
[f3/e653e3] Cached process > WES:IndelRealigner (14)
[8c/0822d0] Cached process > WES:IndelRealigner (8)
[5a/b88044] Cached process > WES:IndelRealigner (2)
[d5/d9f9a1] Cached process > WES:BaseRecalibrator (6)
[c2/b6911e] Cached process > WES:BaseRecalibrator (7)
[bf/ba6e67] Cached process > WES:BaseRecalibrator (8)
[8a/06712a] Cached process > WES:BaseRecalibrator (9)
[e8/f96ace] Cached process > WES:BaseRecalibrator (11)
[e5/f19952] Cached process > WES:BaseRecalibrator (1)
[81/5cd0ae] Cached process > WES:BaseRecalibrator (10)
[57/c49eeb] Cached process > WES:BaseRecalibrator (4)
[e2/198b19] Cached process > WES:BaseRecalibrator (5)
[05/bac4c7] Cached process > WES:BaseRecalibrator (2)
[ff/cbe6ba] Cached process > WES:BaseRecalibrator (14)
[1a/3fa834] Cached process > WES:BaseRecalibrator (12)
[4e/4e107c] Cached process > WES:BaseRecalibrator (3)
[06/52a667] Cached process > WES:BaseRecalibrator (13)
[8d/25b447] Cached process > WES:PrintReads (11)
[41/395091] Cached process > WES:PrintReads (2)
[5f/ab8d01] Cached process > WES:PrintReads (3)
[1e/c26ed6] Cached process > WES:PrintReads (12)
[83/237732] Cached process > WES:PrintReads (7)
[06/9185c8] Cached process > WES:PrintReads (5)
[27/985ba3] Cached process > WES:PrintReads (13)
[65/0efcbc] Cached process > WES:PrintReads (14)
[09/d26a50] Cached process > WES:PrintReads (4)
[60/f71254] Cached process > WES:PrintReads (8)
[7f/1a22bc] Cached process > WES:PrintReads (9)
[2c/912b74] Cached process > WES:PrintReads (10)
[f4/9b95ab] Cached process > WES:PrintReads (6)
[44/daaef7] Cached process > WES:PrintReads (1)
[29/8d8bb0] Cached process > WES:generatefinalbam (11)
[ed/6797ed] Cached process > WES:generatefinalbam (4)
[d2/f4f9cb] Cached process > WES:generatefinalbam (14)
[d5/791589] Cached process > WES:generatefinalbam (1)
[07/e8959a] Cached process > WES:generatefinalbam (3)
[5c/07aa7a] Cached process > WES:generatefinalbam (6)
[f0/48ef76] Cached process > WES:generatefinalbam (8)
[ff/011245] Cached process > WES:generatefinalbam (12)
[25/c9f401] Cached process > WES:generatefinalbam (7)
[83/45810c] Cached process > WES:generatefinalbam (2)
[ed/cce3fb] Cached process > WES:generatefinalbam (5)
[1c/75e5ff] Cached process > WES:generatefinalbam (13)
