chr1	Start	End	Unique ID	Gene NMID Ex	Gene	Strand	Purpose			Width
chr1	2556662	2556735	chr1_2556662_2556735_TNFRSF14	TNFRSF14_NM_003820.4_exon1_CDS	TNFRSF14	+	mutation_panel	.	.	73
chr1	2557723	2557836	chr1_2557723_2557836_TNFRSF14	TNFRSF14_NM_003820.4_exon2_CDS	TNFRSF14	+	mutation_panel	.	.	113
chr1	2558340	2558470	chr1_2558340_2558470_TNFRSF14	TNFRSF14_NM_003820.4_exon3_CDS	TNFRSF14	+	mutation_panel	.	.	130
chr1	2559820	2559980	chr1_2559820_2559980_TNFRSF14	TNFRSF14_NM_003820.4_exon4_CDS	TNFRSF14	+	mutation_panel	.	.	160
chr1	2560621	2560716	chr1_2560621_2560716_TNFRSF14	TNFRSF14_NM_003820.4_exon5_CDS	TNFRSF14	+	mutation_panel	.	.	95
chr1	2561670	2561817	chr1_2561670_2561817_TNFRSF14	TNFRSF14_NM_003820.4_exon6_CDS	TNFRSF14	+	mutation_panel	.	.	147
chr1	2562862	2562898	chr1_2562862_2562898_TNFRSF14	TNFRSF14_NM_003820.4_exon7_CDS	TNFRSF14	+	mutation_panel	.	.	36
chr1	2563145	2563275	chr1_2563145_2563275_TNFRSF14	TNFRSF14_NM_003820.4_exon8_CDS	TNFRSF14	+	mutation_panel	.	.	130
chr1	4144479	4144634	chr1_4144479_4144634_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	155
chr1	9710453	9710598	chr1_9710453_9710598_PIK3CD	PIK3CD_NM_005026.5_exon3_CDS	PIK3CD	+	mutation_panel	.	.	145
chr1	9715538	9715771	chr1_9715538_9715771_PIK3CD	PIK3CD_NM_005026.5_exon4_CDS	PIK3CD	+	mutation_panel	.	.	233
chr1	9715846	9716080	chr1_9715846_9716080_PIK3CD	PIK3CD_NM_005026.5_exon5_CDS	PIK3CD	+	mutation_panel	.	.	234
chr1	9716437	9716621	chr1_9716437_9716621_PIK3CD	PIK3CD_NM_005026.5_exon6_CDS	PIK3CD	+	mutation_panel	.	.	184
chr1	9716956	9717110	chr1_9716956_9717110_PIK3CD	PIK3CD_NM_005026.5_exon7_CDS	PIK3CD	+	mutation_panel	.	.	154
chr1	9717534	9717628	chr1_9717534_9717628_PIK3CD	PIK3CD_NM_005026.5_exon8_CDS	PIK3CD	+	mutation_panel	.	.	94
chr1	9718691	9718917	chr1_9718691_9718917_PIK3CD	PIK3CD_NM_005026.5_exon9_CDS	PIK3CD	+	mutation_panel	.	.	226
chr1	9719918	9720019	chr1_9719918_9720019_PIK3CD	PIK3CD_NM_005026.5_exon10_CDS	PIK3CD	+	mutation_panel	.	.	101
chr1	9720109	9720244	chr1_9720109_9720244_PIK3CD	PIK3CD_NM_005026.5_exon11_CDS	PIK3CD	+	mutation_panel	.	.	135
chr1	9720608	9720663	chr1_9720608_9720663_PIK3CD	PIK3CD_NM_005026.5_exon12_CDS	PIK3CD	+	mutation_panel	.	.	55
chr1	9720739	9720911	chr1_9720739_9720911_PIK3CD	PIK3CD_NM_005026.5_exon13_CDS	PIK3CD	+	mutation_panel	.	.	172
chr1	9721124	9721250	chr1_9721124_9721250_PIK3CD	PIK3CD_NM_005026.5_exon14_CDS	PIK3CD	+	mutation_panel	.	.	126
chr1	9721441	9721589	chr1_9721441_9721589_PIK3CD	PIK3CD_NM_005026.5_exon15_CDS	PIK3CD	+	mutation_panel	.	.	148
chr1	9721758	9721862	chr1_9721758_9721862_PIK3CD	PIK3CD_NM_005026.5_exon16_CDS	PIK3CD	+	mutation_panel	.	.	104
chr1	9721972	9722155	chr1_9721972_9722155_PIK3CD	PIK3CD_NM_005026.5_exon17_CDS	PIK3CD	+	mutation_panel	.	.	183
chr1	9722241	9722358	chr1_9722241_9722358_PIK3CD	PIK3CD_NM_005026.5_exon18_CDS	PIK3CD	+	mutation_panel	.	.	117
chr1	9722525	9722608	chr1_9722525_9722608_PIK3CD	PIK3CD_NM_005026.5_exon19_CDS	PIK3CD	+	mutation_panel	.	.	83
chr1	9723122	9723294	chr1_9723122_9723294_PIK3CD	PIK3CD_NM_005026.5_exon20_CDS	PIK3CD	+	mutation_panel	.	.	172
chr1	9723966	9724094	chr1_9723966_9724094_PIK3CD	PIK3CD_NM_005026.5_exon21_CDS	PIK3CD	+	mutation_panel	.	.	128
chr1	9724273	9724423	chr1_9724273_9724423_PIK3CD	PIK3CD_NM_005026.5_exon22_CDS	PIK3CD	+	mutation_panel	.	.	150
chr1	9724801	9724938	chr1_9724801_9724938_PIK3CD	PIK3CD_NM_005026.5_exon23_CDS	PIK3CD	+	mutation_panel	.	.	137
chr1	9726906	9727048	chr1_9726906_9727048_PIK3CD	PIK3CD_NM_005026.5_exon24_CDS	PIK3CD	+	mutation_panel	.	.	142
chr1	15848065	15848152	chr1_15848065_15848152_SPEN	SPEN_NM_015001.3_exon1_CDS	SPEN	+	mutation_panel	.	.	87
chr1	15872813	15873138	chr1_15872813_15873138_SPEN	SPEN_NM_015001.3_exon2_CDS	SPEN	+	mutation_panel	.	.	325
chr1	15876199	15876680	chr1_15876199_15876680_SPEN	SPEN_NM_015001.3_exon3_CDS	SPEN	+	mutation_panel	.	.	481
chr1	15909318	15909483	chr1_15909318_15909483_SPEN	SPEN_NM_015001.3_exon4_CDS	SPEN	+	mutation_panel	.	.	165
chr1	15911098	15911303	chr1_15911098_15911303_SPEN	SPEN_NM_015001.3_exon5_CDS	SPEN	+	mutation_panel	.	.	205
chr1	15916125	15916281	chr1_15916125_15916281_SPEN	SPEN_NM_015001.3_exon6_CDS	SPEN	+	mutation_panel	.	.	156
chr1	15918923	15919053	chr1_15918923_15919053_SPEN	SPEN_NM_015001.3_exon7_CDS	SPEN	+	mutation_panel	.	.	130
chr1	15919401	15919519	chr1_15919401_15919519_SPEN	SPEN_NM_015001.3_exon8_CDS	SPEN	+	mutation_panel	.	.	118
chr1	15920867	15920985	chr1_15920867_15920985_SPEN	SPEN_NM_015001.3_exon9_CDS	SPEN	+	mutation_panel	.	.	118
